Title,Description,Updated,Language,Link
Analyzing-Profitable-App-Profiles-in-Google-Play-and-Apple-Store,"Our goal for this project is to analyze applications from Apple Store and Google Play Store that are English, Free-to-use apps to help our developers understand what type of apps are likely to attr…",2020-07-27T01:37:22Z,Jupyter Notebook,https://github.com/PrynsTag/Analyzing-Profitable-App-Profiles-in-Google-Play-and-Apple-Store
Finding-Optimal-Post-Times-Analyzing-High-Volume-of-Comments-in-Specific-Time-of-the-Day,We are analyzing the data set coming from the submissions to popular technology site [Hacker News](https://news.ycombinator.com/). Hacker News is a site started by the startup incubator Y Combinato…,2020-07-23T05:37:32Z,Jupyter Notebook,https://github.com/PrynsTag/Finding-Optimal-Post-Times-Analyzing-High-Volume-of-Comments-in-Specific-Time-of-the-Day
Guessing-Game---JS,Codecademy Projects,2020-04-21T14:38:10Z,JavaScript,https://github.com/PrynsTag/Guessing-Game---JS
onemonth-monthly-resolution,No Description,2020-08-23T07:21:49Z,HTML,https://github.com/PrynsTag/onemonth-monthly-resolution
fylo-landing-page-with-two-column-layout,No Description,2020-04-18T08:18:55Z,HTML,https://github.com/PrynsTag/fylo-landing-page-with-two-column-layout
base-apparel-coming-soon,No Description,2020-04-08T08:02:37Z,HTML,https://github.com/PrynsTag/base-apparel-coming-soon
guide,No Description,2019-10-08T16:35:58Z,HTML,https://github.com/PrynsTag/guide
Meade,No Description,2020-08-22T10:19:29Z,CSS,https://github.com/PrynsTag/Meade
Huddle-Landing-Page-with-Single-Introductory-Section,No Description,2020-04-16T13:23:41Z,CSS,https://github.com/PrynsTag/Huddle-Landing-Page-with-Single-Introductory-Section
Huddle-landing-page,No Description,2020-04-07T10:17:09Z,CSS,https://github.com/PrynsTag/Huddle-landing-page
Four-Card-Feature-Section,HTML and CSS,2020-04-04T15:03:09Z,CSS,https://github.com/PrynsTag/Four-Card-Feature-Section
price-grid-component,No Description,2020-04-03T15:20:31Z,CSS,https://github.com/PrynsTag/price-grid-component
ALPHA-Website,No Description,2020-03-18T18:52:53Z,CSS,https://github.com/PrynsTag/ALPHA-Website
PrynsTag,No Description,2021-01-30T15:58:58Z,,https://github.com/PrynsTag/PrynsTag
